Name,Price,Rating
"Boult Audio Anchor Bluetooth Wireless Over Ear Headphones with Mic, Active Noise Cancellation, 30H Playtime, AUX Option, Balanced Audio 40mm Drivers, Voice Assistant Sweatproof Gaming ANC Headphones","₹3,999",3.9 out of 5 stars
"Philips Audio TAH6506BK/00 Slim & Lightweight Bluetooth Wireless Over Ear Headphones with Active Noise Cancellation, 30 Hrs Playtime & Multipoint Pairing with mic (Black)","₹4,999",3.6 out of 5 stars
Logitech H111 Wired On Ear Headphones With Mic Black,₹745,4.0 out of 5 stars
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Green)",₹149,3.5 out of 5 stars
"ZEBRONICS Zeb-Buds 30 3.5Mm Stereo Wired in Ear Earphones with Mic for Calling, Volume Control, Multifunction Button, 14Mm Drivers, Stylish Eartip,1.2 Meter Durable Cable and Lightweight Design(Red)",₹175,3.6 out of 5 stars
"Amazon Basics Wired Over Ear Gaming Headphones mic for PC, Laptop | Static RGB | (Black)","₹1,499",4.2 out of 5 stars
"Amazon Basics Wired Over Ear Gaming Headphones mic for PC, Laptop | Static RGB | (Black)","₹1,499",4.2 out of 5 stars
Amazon Basics Wired Over The Ear Gaming Headphones with Mic | RGB | 7.1 Channel Surround Audio | Remote Control (Black - Red),"₹1,899",4.0 out of 5 stars
Amazon Basics 7.1 USB Gaming Wired Over Ear Headphones with Mic | Virtual Surround Sound | 50mm Driver | RGB LEDs (Black - Green),"₹1,374",4.2 out of 5 stars
"Amazon Basics USB Gaming Wired On-Ear Headphones with Detachable Mic, with Blue LED, Windows Software, Simulated 7.1 Surround Sound, 2.4 Meter Braided Cable Flexible Padded Ear Cushions(Black)","₹1,699",4.0 out of 5 stars
"boAt Rockerz 370 On Ear Bluetooth Headphones with mic, Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0(Fiery Red)","₹1,099",4.0 out of 5 stars
boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),₹399,4.1 out of 5 stars
"PHILIPS Audio TAE1126 Wired in Ear Earphones with mic, 10 mm Driver, Powerful bass and Clear Sound, Black",₹249,3.9 out of 5 stars
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue)",₹154,3.5 out of 5 stars
boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),₹399,4.1 out of 5 stars
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)","₹1,399",4.1 out of 5 stars
"Boult Audio ZCharge Wireless in Ear Bluetooth Neckband with ENC Mic, 40H Playtime, Type-C Fast Charging (10Mins=15Hrs Playtime), Dual Pairing, Made in India, Biggest 14.2mm Drivers Ear Phones (Blue)","₹1,199",3.7 out of 5 stars
boAt Bassheads 100 Wired in Ear Earphones with Mic (Mint Orange),₹399,4.1 out of 5 stars
"PTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling",₹189,3.5 out of 5 stars
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)","₹1,399",4.1 out of 5 stars
boAt Bassheads 102 in Ear Wired Earphones with Mic(Jazzy Blue),₹499,4.1 out of 5 stars
"PTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling",₹189,3.5 out of 5 stars
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",₹599,4.1 out of 5 stars
boAt Rockerz 400 Bluetooth On Ear Headphones With Mic With Upto 8 Hours Playback & Soft Padded Ear Cushions(Grey/Green),₹999,4.1 out of 5 stars
boAt Bassheads 102 Wired in Ear Earphones with Mic (Mint Purple),₹499,4.1 out of 5 stars
"PTron Tangent Duo Bluetooth 5.2 Wireless in Ear Headphones, 13mm Driver, Deep Bass, HD Calls, Fast Charging Type-C Neckband, Dual Pairing, Voice Assistant & IPX4 Water Resistant (Black/Blue)",₹499,3.6 out of 5 stars
"PTron Tangent Duo Bluetooth 5.2 Wireless in Ear Headphones, 13mm Driver, Deep Bass, HD Calls, Fast Charging Type-C Neckband, Dual Pairing, Voice Assistant & IPX4 Water Resistant (Black/Grey)",₹499,3.7 out of 5 stars
